,sp_primary
0,Q00796
1,P30566
2,O14519
3,P41145
4,Q9UJY5
5,P30613
6,P15735
7,P04062
8,O00408
9,P04275
10,Q5TDH0
11,Q6P988
12,Q13155
13,Q9UBF8
14,P36956
15,P12268
16,Q06187
17,Q9H6P5
18,O00194
19,Q13043
20,Q02535
21,O00154
22,Q9BSI4
23,Q9NZD2
24,Q9NRK6
25,Q13630
26,Q96AE4
27,Q9UJS0
28,Q14002
29,Q9NRH2
30,P62942
31,P02787
32,Q07654
33,Q8TBE9
34,Q86UW6
35,O60260
36,Q9NP55
37,O75417
38,P63172
39,P0C024
40,Q9Y5J3
41,Q12830
42,Q9Y5X1
43,Q16539
44,Q13938
45,O43353
46,Q02487
47,Q8IWA4
48,O95551
49,Q96MK3
50,P31151
51,Q9UNA4
52,P60508
53,O95154
54,O60563
55,P78317
56,P00918
57,O75787
58,P62136
59,Q14195
60,Q9Y6D9
61,P32298
62,P67870
63,Q15797
64,P32320
65,P08138
66,Q9H816
67,Q9UHD2
68,P15085
69,Q15326
70,P15924
71,O14980
72,Q8IV48
73,Q9Y2T3
74,Q8WY64
75,Q9NWX6
76,P20930
77,P30260
78,P29374
79,P27338
80,P00338
81,Q15796
82,O43914
83,P57789
84,P0DJI8
85,P59046
86,Q9Y580
87,P36222
88,P25815
89,P01127
90,Q15772
91,Q13395
92,P20292
93,P23443
94,P30307
95,Q15811
96,O95470
97,Q5GJ75
98,Q6PJP8
99,P55201
100,Q9UER7
101,P10074
102,Q9Y6R1
103,P42898
104,P35520
105,P45954
106,Q13255
107,P10826
108,Q9Y5X0
109,O14733
110,Q9UDR5
111,P10912
112,P28069
113,P61926
114,Q9NVS9
115,Q7Z4W1
116,P05089
117,Q14914
118,P42830
119,P16662
120,P17812
121,P11498
122,P51965
123,Q86UT6
124,O75533
125,Q9H1D0
126,P80511
127,P01270
128,Q8WZ42
129,P37231
130,P62937
131,P06276
132,Q9Y2Q3
133,P10636
134,P56696
135,Q17R31
136,Q00872
137,Q9HC35
138,Q8N884
139,O95163
140,P02748
141,P22304
142,Q9H0R8
143,Q9GZU1
144,P51946
145,P26718
146,P52758
147,Q12959
148,P02452
149,P28845
150,P24752
151,Q99707
152,P23258
153,P20337
154,P06727
155,Q99706
156,Q8WTS6
157,O75390
158,P08174
159,P00568
160,Q6MZZ7
161,P63010
162,O43157
163,Q8IUF8
164,Q99816
165,Q8TD19
166,Q5SQI0
167,P45983
168,Q6PKG0
169,P30626
170,P07741
171,Q03405
172,Q14449
173,P25445
174,Q9BWS9
175,P31751
176,O14786
177,O75581
178,P98170
179,Q8NFP9
180,Q99962
181,P63096
182,P08476
183,P54578
184,Q14676
185,Q9H0B6
186,Q13283
187,P53816
188,Q15858
189,Q8NHL6
190,P48163
191,Q96GD0
192,P30520
193,P55809
194,Q9Y263
195,Q9H171
196,P04085
197,Q8NHU6
198,P11308
199,Q96S42
200,Q96MU8
201,P02766
202,P55211
203,Q06455
204,P25440
205,Q9UDY2
206,P01160
207,P01009
208,Q9H444
209,P17948
210,Q9NPG2
211,Q504Y3
212,P20138
213,P43405
214,Q12933
215,Q13423
216,P53999
217,Q9Y663
218,P43250
219,P03951
220,O00499
221,Q13501
222,Q9Y343
223,O00444
224,O00264
225,P10619
226,P31939
227,O15409
228,O94992
229,Q9HCY8
230,P51665
231,P78560
232,Q13569
233,P58753
234,Q6NYC1
235,Q02363
236,A0FGR8
237,Q96J02
238,P49638
239,Q13507
240,O43708
241,P52948
242,P09341
243,Q07021
244,Q14232
245,P00352
246,Q06830
247,Q9Y5R6
248,Q9H3M7
249,P04903
250,P35228
251,Q04837
252,Q92889
253,P56545
254,O94813
255,P00519
256,Q9NZN8
257,P63165
258,P69891
259,Q96EP1
260,Q92838
261,Q96F10
262,O76096
263,Q8TCD5
264,Q8TDX5
265,Q6W2J9
266,Q14562
267,P16871
268,O15467
269,P01241
270,P22392
271,P19838
272,O14964
273,Q53FA7
274,P15104
275,Q05329
276,O43464
277,Q5S007
278,O60704
279,Q9NP95
280,O94972
281,Q6PYX1
282,P55197
283,P23919
284,P50440
285,Q9NUW8
286,P11086
287,O60256
288,P84090
289,Q9UN81
290,Q5JST6
291,Q12967
292,Q7L266
293,Q8NA31
294,P25105
295,Q96C86
296,Q86SZ2
297,Q13133
298,P00720
299,P53634
300,P26639
301,Q14790
302,Q92630
303,Q13867
304,P50591
305,P02743
306,P49765
307,Q9Y6F7
308,P13591
309,P07101
310,Q92900
311,P0DMV8
312,Q9UH73
313,O95727
314,P18206
315,O14531
316,P54274
317,P20035
318,Q99581
319,O95544
320,P35579
321,Q9UIQ6
322,A8EVM5
323,P43489
324,Q93099
325,P02545
326,Q13976
327,P53350
328,Q9UNF0
329,P39060
330,Q13765
331,Q5T280
332,P25788
333,P09038
334,P08263
335,Q13136
336,Q9Y6Y1
337,Q9BV47
338,Q96RE7
339,P16278
340,O14617
341,O94762
342,O00482
343,Q9Y210
344,P06239
345,Q15697
346,Q9Y689
347,P17655
348,P30305
349,Q14863
350,Q9C005
351,O00411
352,Q9HAR2
353,Q9H4M3
354,Q9UGM6
355,P17405
356,P19235
357,P06703
358,P22004
359,Q8N6N7
360,Q99835
361,P49790
362,O75976
363,O60502
364,Q12809
365,P35080
366,Q13426
367,P00491
368,P80188
369,O75874
370,Q96DC8
371,P45985
372,Q9UHL4
373,Q6ZUM4
374,Q92831
375,Q93062
376,Q8NCN4
377,P12931
378,P36897
379,O75636
380,P20807
381,P08151
382,Q15788
383,P50226
384,P23921
385,P55072
386,Q9Y4D7
387,Q86V81
388,Q92905
389,Q9BSQ5
390,Q9Y6K1
391,Q9BZ95
392,P47895
393,A8MW95
394,O95831
395,P34130
396,O15382
397,O75496
398,P56945
399,Q9HB75
400,P46063
401,Q9H2K2
402,Q9BT73
403,Q9UQ16
404,O00182
405,Q02880
406,Q8IZU3
407,Q9UHB9
408,Q06278
409,P20443
410,P35226
411,Q9UKL3
412,Q02080
413,P02778
414,Q00987
415,P40818
416,Q9BUL8
417,P07306
418,P43003
419,P30046
420,P09012
421,P08581
422,P33764
423,P78330
424,P45452
425,P14920
426,P13861
427,Q49A26
428,Q08211
429,O94856
430,Q14194
431,O95793
432,Q99558
433,Q9NWZ3
434,Q8N608
435,P54198
436,P00736
437,P09972
438,P09622
439,Q5T4W7
440,Q9P0U3
441,P41273
442,Q9NS91
443,Q96PN6
444,P41161
445,P42568
446,P07766
447,P15289
448,P01854
449,P43354
450,A0JD37
451,P12883
452,P22234
453,Q9Y233
454,P08069
455,Q8WSF8
456,P02671
457,P05112
458,Q9UBX1
459,P08887
460,P32119
461,P48728
462,Q96B97
463,Q9HBL8
464,Q8IUC4
465,Q15418
466,O75506
467,Q9HC16
468,Q9NR97
469,Q53H82
470,Q9Y5Z4
471,Q02127
472,Q8NDX5
473,Q9NR22
474,P42226
475,P13693
476,Q04760
477,P01579
478,P17676
479,Q9UK17
480,Q16740
481,P07355
482,O14757
483,Q9H999
484,Q9H008
485,P10997
486,Q13813
487,Q9H3D4
488,P12724
489,P27708
490,O00481
491,P13688
492,Q9NZN9
493,Q14573
494,O75521
495,Q9Y6C2
496,Q9UNG2
497,Q96KE9
498,Q99593
499,P22735
500,Q9NSC5
501,Q8IZI9
502,O75936
503,O43169
504,Q86XE5
505,P51648
506,Q9BZS1
507,Q15831
508,Q9H7X0
509,P21796
510,Q13614
511,O76083
512,O60678
513,Q9H6I2
514,P61960
515,Q9NQH7
516,O75531
517,P40926
518,Q92600
519,Q07157
520,P35680
521,Q9Y297
522,P49418
523,P09172
524,Q7Z4S6
525,Q96EY8
526,Q96KQ7
527,P31321
528,O95267
529,P14902
530,Q01813
531,P19419
532,P78423
533,P0DOJ7
534,Q9UBD6
535,P26998
536,P01042
537,P12081
538,Q8NEU8
539,Q9BX68
540,P0C870
541,P21730
542,O00222
543,P09486
544,P11532
545,P01597
546,P0DOY3
547,P54253
548,P56199
549,Q99417
550,P49760
551,Q9BYV9
552,Q9UHQ4
553,Q9HCD5
554,Q13077
555,P62258
556,P21333
557,Q13464
558,P22102
559,Q96RS0
560,P41594
561,P22362
562,P23677
563,Q15648
564,Q8WXG8
565,O95271
566,P56373
567,Q8IX03
568,P04424
569,P60033
570,P27448
571,Q6PIW4
572,O14931
573,Q9H3S4
574,P78352
575,P01023
576,Q9UBT6
577,Q9UPT6
578,Q6XQN6
579,P22223
580,Q12778
581,Q14204
582,P14735
583,Q9NZQ7
584,Q9Y6X8
585,P01019
586,O15335
587,O96028
588,P01375
589,P40394
590,O94916
591,P78540
592,P29074
593,P42765
594,Q9H6W3
595,Q8WXE0
596,P39086
597,P08237
598,O00755
599,P05155
600,Q06609
601,P00367
602,Q9Y624
603,P07910
604,Q9BUP3
605,P48637
606,O95365
607,P33763
608,P13473
609,Q8N3C7
610,O75626
611,Q13153
612,Q9UL51
613,Q5VT52
614,Q13033
615,Q8N2Q7
616,Q5W0Z9
617,P04075
618,P01008
619,P04179
620,P08670
621,P04156
622,Q9BWD1
623,Q9UBK2
624,P29317
625,Q96GA7
626,Q9H3R0
627,O00459
628,P40259
629,P30838
630,Q96GX9
631,Q9H792
632,P17931
633,P07737
634,Q16222
635,Q9Y6F8
636,Q9Y4D1
637,Q96DE0
638,O60907
639,Q8N5Y2
640,Q8IVF2
641,Q9UIF8
642,Q9BWP8
643,P29218
644,P11926
645,P49888
646,P21980
647,Q15691
648,P54687
649,P48552
650,Q9Y235
651,Q9UIB8
652,P24821
653,Q86UT5
654,P29033
655,Q5TBB1
656,O00180
657,P07237
658,P84243
659,P01860
660,P16118
661,P01137
662,P04745
663,P35790
664,P31937
665,Q9Y259
666,P16410
667,Q9UN36
668,Q96RI1
669,P32754
670,Q8N539
671,Q460N5
672,P40199
673,Q96H15
674,Q92784
675,P43628
676,O95944
677,P41212
678,O00443
679,Q9HCB6
680,Q13568
681,Q01826
682,P15144
683,P22314
684,O75475
685,P46939
686,P05121
687,P00488
688,Q9NWU1
689,P11172
690,P18283
691,P30084
692,O75970
693,P00966
694,Q3YBR2
695,O95278
696,Q6MZV7
697,Q9NX46
698,Q13126
699,Q9Y6K8
700,Q9UKK9
701,Q9Y232
702,Q9BXR5
703,P07996
704,Q9UHX1
705,Q96LJ7
706,Q16849
707,Q9NQS3
708,Q80UW2
709,P31327
710,Q9BZ23
711,P10599
712,P43235
713,P22607
714,P0DP23
715,O95257
716,P11686
717,P07954
718,O43504
719,Q8WXF7
720,Q59H18
721,Q14457
722,Q9HAN9
723,P13569
724,Q01105
725,P02768
726,Q53H47
727,Q6P2Q9
728,Q9Y5S2
729,P0CG47
730,O43598
731,Q9Y2H2
732,P0AE08
733,P30048
734,Q5T0W9
735,Q96JM3
736,P78417
737,P28702
738,P02730
739,P61812
740,Q0JRZ9
741,Q9Y5W5
742,Q8WXI4
743,Q5FBB7
744,Q16281
745,O75509
746,O75175
747,Q9Y2M0
748,Q96RR4
749,P06737
750,P07998
751,Q05397
752,Q01581
753,Q9Y217
754,Q3ZCW2
755,O00763
756,Q9H8V3
757,Q9HAQ2
758,Q9UQC2
759,Q13796
760,P48643
761,Q07108
762,P10144
763,O15217
764,P15531
765,Q92731
766,Q9UPY3
767,Q9HA47
768,P42768
769,O95786
770,P35916
771,Q9BVL2
772,J3QQ18
773,P12270
774,P21583
775,P35609
776,Q8NBQ5
777,Q9UJ70
778,O95747
779,Q16760
780,Q9HD40
781,P43268
782,Q5VZV1
783,Q86VP1
784,Q8NI35
785,P04181
786,P49902
787,Q9NZL9
788,Q7Z6V5
789,Q9BTU6
790,Q6P4Q7
791,P50503
792,P11413
793,Q01523
794,Q9Y239
795,P09210
796,O14684
797,P49796
798,P42785
799,P22736
800,Q96S55
801,Q6TGC4
802,P19113
803,O14727
804,P49711
805,Q96N21
806,P11310
807,Q13114
808,P29972
809,P04629
810,P52732
811,P04271
812,Q9NS18
813,Q9Y2V2
814,P29466
815,P68400
816,Q5T2D3
817,Q9NWM8
818,Q8IVH8
819,Q8IUX4
820,P10147
821,P47929
822,P27694
823,P26440
824,P39900
825,P11388
826,P16442
827,Q8TEU7
828,Q9BVI0
829,Q9Y483
830,P01275
831,P07738
832,O15294
833,P08603
834,Q9NUB1
835,P19099
836,P09466
837,Q15063
838,Q99259
839,P62979
840,O60759
841,P22680
842,Q53EZ4
843,P55087
844,Q92692
845,P97287
846,P34897
847,Q0MQR4
848,Q5VTR2
849,P00750
850,P01730
851,P10145
852,O60547
853,Q14469
854,A2NI60
855,Q9Y6K9
856,Q9NUV9
857,P29372
858,O00255
859,Q92530
860,Q07889
861,Q08380
862,P11766
863,Q15119
864,Q01831
865,Q14451
866,P15923
867,P07332
868,Q06787
869,Q64373
870,Q01543
871,Q8WTX7
872,Q8IVT5
873,P61244
874,P05305
875,P18510
876,Q96PD4
877,P23141
878,P06280
879,P61978
880,Q9H2G2
881,Q5T7N2
882,P53602
883,Q8N6T3
884,P17174
885,Q03468
886,O60880
887,Q9Y275
888,P18031
889,Q9Y215
890,Q15019
891,P54725
892,Q9BY11
893,Q9NVR0
894,Q9NZH6
895,Q05209
896,Q96NI6
897,P30086
898,P19793
899,P42574
900,P84077
901,P27540
902,P30519
903,Q9BY84
904,Q9P2J5
905,Q8NCJ5
906,P51693
907,P49591
908,Q9ULW0
909,Q14680
910,Q15149
911,P51572
912,Q9WV60
913,O43173
914,Q8WYH8
915,Q13546
916,Q01167
917,Q14894
918,P50542
919,O60701
920,Q658P3
921,P05387
922,Q9NRF8
923,Q96ES7
924,P52952
925,Q9UI32
926,Q8IY92
927,Q8TD43
928,P20333
929,P08515
930,P11831
931,O95749
932,Q10589
933,P25054
934,Q16630
935,P05091
936,P00746
937,P14859
938,P24158
939,P01764
940,Q15054
941,Q99584
942,P53004
943,Q16665
944,P32322
945,Q53HL2
946,Q96FQ6
947,Q86U42
948,P52788
949,Q16831
950,Q03393
951,Q6P4R8
952,Q9NZM3
953,O75311
954,Q9GZV5
955,Q13148
956,Q03692
957,Q9ULH1
958,O00764
959,P28698
960,P12645
961,Q9Y296
962,Q5T2T1
963,Q8NHW3
964,Q05823
965,Q96S59
966,P02647
967,P00439
968,Q16690
969,P07949
970,Q15303
971,O95848
972,Q99720
973,Q5FWF4
974,Q8N1W1
975,P22681
976,P08236
977,Q96Q11
978,Q9BV79
979,Q8WUM4
980,O14773
981,Q9ULZ3
982,Q9Y5X4
983,Q86WT6
984,P53671
985,Q9UM47
986,P25942
987,Q8N4E7
988,Q9NZN1
989,P10600
990,Q15365
991,P01868
992,O14965
993,O95822
994,Q9UJX3
995,Q8TC59
996,P49116
997,Q16851
998,Q9UBL3
999,Q92547
1000,Q8IVW4
1001,O43765
1002,O60674
1003,P34059
1004,O43663
1005,Q9UGM1
1006,P20393
1007,P22897
1008,P49771
1009,P0CG48
1010,Q14653
1011,P07199
1012,Q9BQ50
1013,Q9UHN1
1014,O94804
1015,Q9BUD6
1016,Q969Q1
1017,Q92133
1018,P32019
1019,O95863
1020,Q9UBC3
1021,P48061
1022,P19971
1023,Q15366
1024,Q07817
1025,P32544
1026,Q8WYK0
1027,Q13188
1028,A6NK44
1029,P57075
1030,O15169
1031,Q16853
1032,O95684
1033,P06731
1034,O95147
1035,P02708
1036,Q9GZT9
1037,Q9HCK4
1038,Q99523
1039,P23560
1040,P02679
1041,Q8WWM9
1042,O43488
1043,O75460
1044,P41208
1045,Q9UG22
1046,Q07812
1047,Q6B0I6
1048,P51530
1049,O00746
1050,P19367
1051,Q13469
1052,P19320
1053,P43026
1054,O60942
1055,P55040
1056,Q96AT9
1057,Q8TDB6
1058,Q9P0L9
